identifier	name
MNXM1	proton
MNXM2	water
MNXM22	hydrogen peroxide
MNXM4	dioxygen
MNXM13	carbon dioxide
MNXM12	coenzyme A
MNXM3	adenosine 5’-triphosphate
MNXM14	adenosine 5’-monophosphate
MNXM5	nicotinamide adenine dinucleotide phosphate
MNXM6	nicotinamide adenine dinucleotide phosphate reduced
MNXM8	nicotinamide adenine dinucleotide
MNXM10	nicotinamide adenine dinucleotide reduced
MNXM9	phosphate
MNXM7	adenosine 5’-diphosphate
MNXM21	acetyl coenzyme A
MNXM11	diphosphate
MNXM33	flavin adenine dinucleotide
MNXM38	flavin adenine dinucleotide reduced
MNXM58	sulfate
MNXM15	ammonium
MNXM27	sodium
MNXM60	hydrogen carbonate
MNXM527231	hydroxide
MNXM17	uridine 5’-diphosphate
MNXM80	uridine 5’-monophosphate
MNXM121	uridine 5’-triphosphate
MNXM89598	adenosine 3’,5’-bisphosphate
MNXM31	cytidine 5’-monophosphate
MNXM220	cytidine 5’-diphosphate
MNXM63	cytidine 5-triphosphate
MNXM113	guanosine 5’-monophosphate
MNXM30	guanosine 5’-diphosphate
MNXM51	guanosine 5’-triphosphate
MNXM125	inosine 5’-monophosphate
MNXM495	inosine 5’-diphosphate
MNXM423	inosine 5’-triphosphate
MNXM105630	sulfite
