#type	code	old_ID	old_desc	new_ID	new_desc	comment
chem	1.3	MNXM10019_c	a (3R)-3-hydroxyoctanoyl-[acp]	MNXM10019	(R)-3-Hydroxyoctanoyl-[acyl-carrier protein]	
chem	1.3	MNXM10053_c	3-mercaptolactate-cysteine disulfide	MNXM10053	Mercplaccys	
chem	1.3	MNXM100_x	geranyl diphosphate	MNXM100	(2E)-geranyl diphosphate	
chem	1.3	MNXM10347_c	5alpha-Dihydrotestosterone sulfate	MNXM10347	5adtststerones	
chem	1.3	MNXM10441_c	8,9 epxoy aflatoxin B1	MNXM10441	Eaflatoxin	
chem	1.3	MNXM10471_x	sebacoylcoa	MNXM10471	Decanedioyl-CoA	
chem	1.3	MNXM1062_m	N-acetyl-L-glutamate 5-semialdehyde	MNXM1062	2-acetamido-5-oxopentanoate	
chem	1.3	MNXM10631_n	all-trans-4-hydroxyretinoic acid	MNXM10631	all-trans-4-dihydroxyretinoate	
chem	1.3	MNXM10654_r	alpha-D-Glucosyl-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol, human uterine homolog	MNXM10654	G1m8mpdol U	
chem	1.3	MNXM10659_c	alpha-D-mannosyl-beta-D-mannosyl-diacylchitobiosyldiphosphodolichol, human uterine homolog	MNXM10659	M1mpdol U	
chem	1.3	MNXM10720_c	antipyrene	MNXM10720	Antipyrene	
chem	1.3	MNXM10806_c	beta-D-Mannosyldiacetylchitobiosyldiphosphodolichol, human uterine homolog	MNXM10806	Mpdol U	
chem	1.3	MNXM10930_c	cholesterol ester (from FULLR2)	MNXM10930	Xolest2 hs	
chem	1.3	MNXM10936_l	chondroitin sulfate A (GalNAc4S-GlcA), degradation product 1	MNXM10936	Cs a deg1	
chem	1.3	MNXM10937_l	chondroitin sulfate A (GalNAc4S-GlcA), degradation product 4	MNXM10937	Cs a deg4	
chem	1.3	MNXM10938_l	chondroitin sulfate A (GalNAc4S-GlcA), degradation product 5	MNXM10938	Cs a deg5	
chem	1.3	MNXM10939_g	chondroitin sulfate B (IdoA2S-GalNAc4S), precursor 4	MNXM10939	Cs b pre4	
chem	1.3	MNXM10940_g	chondroitin sulfate B (IdoA2S-GalNAc4s), precursor 5	MNXM10940	Cs b pre5	
chem	1.3	MNXM10941_l	chondroitin sulfate B / dermatan sulfate (IdoA2S-GalNAc4S), degradation product 1	MNXM10941	Cs b deg1	
chem	1.3	MNXM10942_l	chondroitin sulfate B / dermatan sulfate (IdoA2S-GalNAc4S), degradation product 3	MNXM10942	Cs b deg3	
chem	1.3	MNXM10943_l	chondroitin sulfate C (GalNAc6S-GlcA), degradation product 1	MNXM10943	Cs c deg1	
chem	1.3	MNXM10944_l	chondroitin sulfate C (GalNAc6S-GlcA), degradation product 4	MNXM10944	Cs c deg4	
chem	1.3	MNXM10945_g	chondroitin sulfate C (GalNAc6S-GlcA), precursor 2	MNXM10945	Cs c pre2	
chem	1.3	MNXM10946_g	chondroitin sulfate C (GalNAc6S-GlcA), precursor 3	MNXM10946	Cs c pre3	
chem	1.3	MNXM10947_g	chondroitin sulfate D (GlcNAc6S-GlcA2S) precursor 2	MNXM10947	Cs d pre2	
chem	1.3	MNXM10948_l	chondroitin sulfate D (GlcNAc6S-GlcA2S), degradation product 1	MNXM10948	Cs d deg1	
chem	1.3	MNXM10949_l	chondroitin sulfate D (GlcNAc6S-GlcA2S), degradation product 3	MNXM10949	Cs d deg3	
chem	1.3	MNXM10950_l	chondroitin sulfate D (GlcNAc6S-GlcA2S), degradation product 5	MNXM10950	Cs d deg5	
chem	1.3	MNXM10951_g	chondroitin sulfate D (GlcNAc6S-GlcA2S), precursor 3	MNXM10951	Cs d pre3	
chem	1.3	MNXM10952_g	chondroitin sulfate D (GlcNAc6S-GlcA2S), precursor 4	MNXM10952	Cs d pre4	
chem	1.3	MNXM10953_g	chondroitin sulfate D (GlcNAc6S-GlcA2S), precursor 5	MNXM10953	Cs d pre5	
chem	1.3	MNXM10954_l	chondroitin sulfate E (GalNAc4,6diS-GlcA), degradation product 1	MNXM10954	Cs e deg1	
chem	1.3	MNXM10955_l	chondroitin sulfate E (GalNAc4,6diS-GlcA), degradation product 2	MNXM10955	Cs e deg2	
chem	1.3	MNXM10956_l	chondroitin sulfate E (GalNAc4,6diS-GlcA), degradation product 5	MNXM10956	Cs e deg5	
chem	1.3	MNXM10957_l	chondroitin sulfate E (GalNAc4,6diS-GlcA), degradation product 6	MNXM10957	Cs e deg6	
chem	1.3	MNXM10958_g	chondroitin sulfate E (GalNAc4,6diS-GlcA), precursor 3	MNXM10958	Cs e pre3	
chem	1.3	MNXM10959_g	chondroitin sulfate E (GalNAc4,6diS-GlcA), precursor 5a	MNXM10959	Cs e pre5a	
chem	1.3	MNXM10960_g	chondroitin sulfate E (GalNAc4,6diS-GlcA), precursor 5b	MNXM10960	Cs e pre5b	
chem	1.3	MNXM11293_c	D-Tagatose 1-phosphate	MNXM11293	D-Tagatose-1-phosphate	
chem	1.3	MNXM11301_l	de-Fuc, reducing GlcNAc removed, de-Sia, de-Gal form of PA6 (w/o peptide linkage)	MNXM11301	N2m2mn	
chem	1.3	MNXM11315_c	Dehydrodolichol diphosphate, human uterine homolog	MNXM11315	Dedoldp U	
chem	1.3	MNXM11317_c	Dehydrodolichol phosphate, human uterine homolog	MNXM11317	Dedolp U	
chem	1.3	MNXM11319_c	Dehydrodolichol, human uterine homolog	MNXM11319	Dedol U	
chem	1.3	MNXM114070_c	L-homocysteine	MNXM123	homocysteine zwitterion	
