identifier	name
R_AACOAT	Acetoacetyl-CoA:acetate CoA-transferase
R_AACTOOR	Aminoacetone:oxygen oxidoreductase(deaminating)(flavin-containing)
R_ABTD	L-arabinitol 4-dehydrogenase
R_ACACT1r	acetyl-CoA C-acetyltransferase
R_ACACT1rm	acetyl-CoA C-acetyltransferase, mitochondrial
R_ACALDtm	acetaldehyde mitochondrial diffusion
R_ACALDtx	acetaldehyde peroxisomal diffusion
R_ACCOAL	acetate-CoA ligase (ADP-forming)
R_ACCOALm	acetate-CoA ligase (AMP-forming)
R_ACETONEt2m	acetone mitochondrial transport via proton symport
R_ACGALK	N-acetylgalactosamine kinase
R_ACGALK2	N-acetylgalactosamine kinase (ITP)
R_ACGAM2E	N-acetylglucosamine 2-epimerase
R_ACGAMK	N-acetylglucosamine kinase
R_ACGAMPM	phosphoacetylglucosamine mutase
R_ACGAMtly	N-acetyl-glucosamine lysosomal efflux
R_ACITL	ATP-Citrate lyase
R_ACNAM9PL	N-Acetylneuraminate 9-phosphate pyruvate-lyase (pyruvate-phosphorylating)
R_ACNAM9PL2	N-Acetylneuraminate 9-phosphate pyruvate-lyase (pyruvate-phosphorylating)
R_ACNAMPH	N-Acetylneuraminate 9-phosphate phosphohydrolase
R_ACNAMtn	N-acetylneuraminate nuclear import
R_ACOAD1fm	acyl-CoA dehydrogenase (butanoyl-CoA), mitochondrial
R_ACOAHi	acetyl-CoA hydrolase
R_ACONT	aconitase
R_ACONTm	Aconitate hydratase
R_ACS	acetyl-CoA synthetase
R_ACS2	acetyl-CoA synthase (propionate)
R_ACSm	acetyl-CoA synthetase
R_ACTLMO	acetol monooxygenase
R_ACTNMO	acetone monooxygenase
R_ACYP	acylphosphatase
R_ADCim	Acetoacetate decarboxylation (irreversible), mitochondrial
R_ADK1	adenylate kinase
R_ADNtm	adenosine facilated transport in mitochondria
R_AGDC	N-acetylglucosamine-6-phosphate deacetylase
R_AGTim	alanine-glyoxylate transaminase (irreversible), mitochondrial
R_AGTix	alanine-glyoxylate transaminase (irreversible), (peroxisomal)
R_AKGDm	2-oxoglutarate dehydrogenase
R_AKGMALtm	alpha-ketoglutarate/malate transporter
R_ALCD21_D	alcohol dehydrogenase (D-1,2-propanediol)
R_ALCD21_L	alcohol dehydrogenase (L-1,2-propanediol)
R_ALCD22_L	alcohol dehydrogenase (L-lactaldehyde)
R_ALDD2x	aldehyde dehydrogenase (acetaldehyde, NAD)
R_ALDD2xm	aldehyde dehydrogenase (acetylaldehyde, NAD), mitochondrial
R_ALDD2y	aldehyde dehydrogenase (acetaldehyde, NADP)
R_ALR2	aldose reductase (methylglyoxal)
R_ALR3	aldose reductase (acetol)
R_AMANK	N-acetyl-D-mannosamine kinase
R_APAT2rm	3-Aminopropanoate:2-oxoglutarate aminotransferase (m)
R_ARABR	arabinose reductase
R_ASCBOX	ascorbic acid oxidase
R_ASPGLUm	aspartate-glutamate mitochondrial shuttle
R_ASPTA	aspartate transaminase
R_ASPTAm	aspartate transaminase
R_ATPS4m	ATP synthase (four protons for one ATP)
R_BDHm	(R)-3-Hydroxybutanoate:NAD+ oxidoreductase
R_C3STDH1r	C-3 sterol dehydrogenase (4-methylzymosterol)
R_CAT2p	catalase A, peroxisomal (ethanol)
R_CBPPer	Carbamoyl phosphate phosphotransferase, endoplasmic reticulum
R_CDIPTr	phosphatidylinositol synthase (Homo sapiens)
R_CHTNASE	chitinase
R_CITMCOAHm	L-Citramalyl-CoA hydro-lyase, mitochondrial
R_CITMCOALm	L-Citramalyl-CoA pyruvate-lyase
R_CMPACNAtn	CMP-Sia nuclear export
R_CMPSAS	CMP sialic acid synthase
R_CMPSASn	CMP sialic acid synthase, nuclear
R_CO2tm	CO2 transport (diffusion), mitochondrial
R_CSm	citrate synthase
R_DASCBH	L-Dehydroascorbate lactonohydrolase
R_DASCBR	dehydroascorbate reductase
R_DGSNtm	deoyguanosine transport in mitochondria
R_DGULND	dehydro-L-gulonate decarboxylase
R_DNDPt34m	dGDP transport via dTDP antiport
R_DNDPt9m	dADP transport via dTDP antiport
R_DOGULND1	2,3-dioxo-L-gulonate decarboxylase (L-lyxonate-forming)
R_DOGULND2	2,3-dioxo-L-gulonate decarboxylase (L-xylonate-forming)
R_DOGULNO1	2,3-dioxo-L-gulonate:hydrogen peroxide oxireductase
R_DOGULNO2	2,3-dioxo-L-gulonate:hydrogen peroxide oxireductase
R_DOPABMO	dopamine beta-monooxygenase
R_DPGase	Diphosphoglycerate phosphatase
R_DPGM	Diphosphoglyceromutase
R_DRBK	Deoxyribokinase
R_DRPA	deoxyribose-phosphate aldolase
R_ENO	enolase
R_ETOHMO	ethanol monooxygenase
R_F1PGT	fucose-1-phosphate guanylyltransferase
R_FACOAL40im	fatty-acid--CoA ligase (butanoate), mitochondrial
R_FBA	fructose-bisphosphate aldolase
R_FBA2	D-Fructose 1-phosphate D-glyceraldehyde-3-phosphate-lyase
R_FBA4	D-Fructose 1-phosphate D-glyceraldehyde-3-phosphate-lyase
R_FBA5	D-Tagatose 1-phosphate D-glyceraldehyde-3-phosphate-lyase
R_FBP	fructose-bisphosphatase
R_FBP26	Fructose-2,6-bisphosphate 2-phosphatase
R_FK	Fucokinase
R_FUM	fumarase
R_FUMm	fumarase, mitochondrial
R_G1PTT	glucose-1-phosphate thymidylyltransferase
