"identifier","name","count","bin","frequency"
"h","proton","2747","2747","1"
"h2o","water","2062","2062","1"
"coa","coenzyme A(4-)","726","726","1"
"atp","ATP(4-)","625","625","1"
"o2","dioxygen","622","622","1"
"nadp","NADP(3-)","603","603","1"
"nadph","NADPH(4-)","598","598","1"
"nad","NAD(1-)","503","503","1"
"na1","sodium(1+)","500","500","1"
"nadh","NADH(2-)","492","492","1"
"adp","ADP(3-)","459","459","2"
"pi","hydrogenphosphate","459","459","2"
"accoa","acetyl-CoA(4-)","291","291","1"
"hco3","hydrogencarbonate","269","269","1"
"udp","UDP(3-)","259","259","1"
"h2o2","hydrogen peroxide","234","234","1"
"ppi","diphosphate(3-)","222","222","1"
"amp","AMP(2-)","183","183","1"
"crn","(R)-carnitine","181","181","1"
"co2","carbon dioxide","172","172","1"
"fad","FAD","155","155","1"
"fadh2","FADH2(2-)","149","149","1"
"gthrd","glutathionate(1-)","143","143","1"
"glu_L","L-glutamate(1-)","122","122","1"
"so4","sulfate","117","117","1"
"gly","glycine","113","113","1"
"nh4","ammonium","101","101","2"
"udpglcur","UDP-alpha-D-glucuronate(3-)","101","101","2"
"ala_L","L-alanine","90","90","1"
"akg","2-oxoglutarate(2-)","89","89","1"
"ahcys","S-adenosyl-L-homocysteine","82","82","2"
"cys_L","L-cysteine","82","82","2"
"gln_L","L-glutamine","81","81","3"
"ser_L","L-serine","81","81","3"
"amet","S-adenosyl-L-methionine","81","81","3"
"leu_L","L-leucine","78","78","1"
"pro_L","L-proline","76","76","1"
"phe_L","L-phenylalanine","75","75","1"
"tyr_L","L-tyrosine","71","71","2"
"met_L","L-methionine","71","71","2"
"asn_L","L-asparagine","69","69","3"
"ile_L","L-isoleucine","69","69","3"
"paps","3'-phosphonato-5'-adenylyl sulfate(4-)","69","69","3"
"pap","adenosine 3',5'-bismonophosphate(4-)","68","68","1"
"trp_L","L-tryptophan","67","67","1"
"cmp","CMP(2-)","66","66","1"
"udpgal","UDP-D-galactose(2-)","65","65","4"
"val_L","L-valine","65","65","4"
"cl","chloride","65","65","4"
"arg_L","L-argininium(1+)","65","65","4"
"lys_L","L-lysinium(1+)","64","64","2"
"thr_L","L-threonine","64","64","2"
"his_L","L-histidine","61","61","1"
"gdp","GDP(3-)","59","59","1"
"pyr","pyruvate","58","58","3"
"malcoa","malonyl-CoA(5-)","58","58","3"
"hom_L","L-homoserine","58","58","3"
"HC02200","S-(2,4-dinitrophenyl)glutathione","56","56","4"
"acgam","aldehydo-N-acetyl-D-glucosamine","56","56","4"
"HC02201","S-glutathionyl-ethacrynic-acid","56","56","4"
"HC02199","glutathionyl-leuc4","56","56","4"
"uacgam","UDP-N-acetyl-alpha-D-glucosamine(2-)","55","55","1"
"orn","ornithine","54","54","1"
"chsterol","cholesterol","53","53","1"
"citr_L","L-citrulline","52","52","1"
"glc_D","D-glucopyranose","48","48","1"
"ac","acetate","45","45","1"
"ascb_L","L-ascorbate","44","44","1"
"ump","UMP(2-)","43","43","1"
"arachd","arachidonate","41","41","1"
"cmpacna","CMP-N-acetyl-beta-neuraminate(2-)","39","39","4"
"glcur","D-glucuronate","39","39","4"
"gal","D-galactose","39","39","4"
"ppcoa","propionyl-CoA(4-)","39","39","4"
"dadp","dADP(3-)","35","35","1"
"for","formate","34","34","5"
"datp","dATP(4-)","34","34","5"
"dcdp","dCDP(3-)","34","34","5"
"dhdascb","dehydroascorbide(1-)","34","34","5"
"man","D-mannose","34","34","5"
"gtp","GTP(4-)","33","33","1"
"pmtcoa","palmitoyl-CoA(4-)","32","32","2"
"dag_hs","diglyceride","32","32","2"
"ctp","CTP(4-)","29","29","2"
"cdp","CDP(3-)","29","29","2"
"utp","UTP(4-)","28","28","6"
"gdpfuc","GDP-L-fucose(2-)","28","28","6"
"thf","(6S)-5,6,7,8-tetrahydrofolate(2-)","28","28","6"
"succ","succinate(2-)","28","28","6"
"dgdp","dGDP(2-)","28","28","6"
"dgtp","dGTP","28","28","6"
"retn","all-trans-retinoate","27","27","3"
"dolp_U","dolichyl phosphate(2-)","27","27","3"
"Rtotal","fatty acid anion","27","27","3"
"occoa","octanoyl-CoA(4-)","26","26","3"
"leuktrB4","leukotriene B4(1-)","26","26","3"
"o2s","superoxide","26","26","3"
"dtdp","dTDP(3-)","25","25","4"
"pchol_hs","phosphatidylcholine","25","25","4"
"q10","coenzyme Q10","25","25","4"
"pe_hs","phosphatidylethanolamine","25","25","4"
"octdececoa","oleoyl-CoA(4-)","24","24","6"
"pail_hs","1-phosphatidyl-1D-myo-inositol(1-)","24","24","6"
"dcmp","dCMP(2-)","24","24","6"
"stcoa","stearoyl-CoA(4-)","24","24","6"
"q10h2","ubiquinol-10","24","24","6"
"arachdcoa","arachidonoyl-CoA(4-)","24","24","6"
"lac_L","(S)-lactate","23","23","5"
"acac","acetoacetate","23","23","5"
"udpacgal","UDP-N-acetyl-D-galactosamine(2-)","23","23","5"
"lnlncgcoa","gamma-linolenoyl-CoA(4-)","23","23","5"
"icit","isocitrate(3-)","23","23","5"
"acgal","N-acetyl-D-galactosamine","22","22","6"
"mal_L","(S)-malate(2-)","22","22","6"
"ppa","propionate","22","22","6"
"asp_L","L-aspartate(1-)","22","22","6"
"dttp","dTTP(4-)","22","22","6"
"adn","adenosine","22","22","6"
"dopa","dopaminium(1+)","21","21","5"
"lnlccoa","linoleoyl-CoA","21","21","5"
"cit","citrate(3-)","21","21","5"
"dctp","dCTP","21","21","5"
"ACP","acyl-carrier protein","21","21","5"
"crm_hs","N-acylsphingosine","20","20","6"
"chol","choline","20","20","6"
"dudp","dUDP(3-)","20","20","6"
"Rtotalcoa","fatty acyl-CoA","20","20","6"
"taur","taurine","20","20","6"
"hdca","palmitate","20","20","6"
"pail45p_hs","1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate","19","19","8"
"pail5p_hs","1-phosphatidyl-1D-myo-inositol 5-phosphate(3-)","19","19","8"
"gmp","GMP(2-)","19","19","8"
"fald","formaldehyde","19","19","8"
"hdcoa","(E)-hexadec-2-enoyl-CoA(4-)","19","19","8"
"pa_hs","phosphatidate(2-)","19","19","8"
"acald","acetaldehyde","19","19","8"
"tmndnccoa","(5Z,8Z,11Z,14Z,17Z)-icosapentaenoyl-CoA(4-)","19","19","8"
"tchola","taurocholate","18","18","5"
"dhap","glycerone phosphate(2-)","18","18","5"
"dcacoa","decanoyl-CoA(4-)","18","18","5"
"crvnc","(4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoate","18","18","5"
"dutp","dUTP","18","18","5"
"uri","uridine","17","17","5"
"gchola","glycocholate","17","17","5"
"estrone","estrone","17","17","5"
"spmd","spermidine(3+)","17","17","5"
"tdcoa","myristoyl-CoA(4-)","17","17","5"
"4abut","gamma-aminobutyric acid","16","16","9"
"oaa","oxaloacetate(2-)","16","16","9"
"arachcoa","icosanoyl-CoA","16","16","9"
"oxa","oxalate(2-)","16","16","9"
"trdrd","thioredoxin","16","16","9"
"so3","hydrogensulfite","16","16","9"
"prostgh2","prostaglandin H2(1-)","16","16","9"
"cytd","cytidine","16","16","9"
"glyc3p","sn-glycerol 3-phosphate(2-)","16","16","9"
"pep","phosphoenolpyruvate","15","15","16"
"pail4p_hs","1-phosphatidyl-1D-myo-inositol 4-phosphate(3-)","15","15","16"
"dump","dUMP(2-)","15","15","16"
"13_cis_retn","isotretinoin","15","15","16"
"trdox","thioredoxin disulfide","15","15","16"
"cholate","cholate","15","15","16"
"ddcacoa","lauroyl-CoA(4-)","15","15","16"
"HC00342","cis-aconitate(3-)","15","15","16"
"ocdcea","oleate","15","15","16"
